q,index,sigma
151,131,0.037462610923790475
151,132,0.03746261092379047
151,133,0.03746261092379047
151,134,0.03746261092379046
151,135,0.03746261092379045
151,136,0.03746261092379045
151,137,0.03746261092379045
151,138,0.03746261092379045
151,139,0.03746261092379043
151,140,0.03746261092379042
151,141,0.03746261092379041
151,142,0.03746261092379041
151,143,0.0374626109237904
151,144,0.03746261092379038
151,145,0.03746261092379038
151,146,0.03746261092379036
151,147,0.03746261092379034
151,148,0.037462610923790336
151,149,0.0374626109237903
151,150,0.03746261092379024
211,0,0.1955227615614812
211,1,0.16982438736653008
211,2,0.16982438736653
211,3,0.1395491171974925
211,4,0.1395491171974925
211,5,0.10064815441514367
211,6,0.10064815441514359
211,7,0.027225415386436184
211,8,0.027225415386436174
211,9,0.027225415386436174
211,10,0.027225415386436164
211,11,0.027225415386436125
211,12,0.027225415386436063
211,13,0.02680973577958524
211,14,0.02680973577958518
211,15,0.02680973577958517
211,16,0.026809735779585137
211,17,0.026809735779585106
211,18,0.026809735779585047
211,19,0.026809735779585037
211,20,0.026809735779585012
211,21,0.026809735779585005
211,22,0.026809735779585002
211,23,0.026809735779585002
211,24,0.026809735779584988
211,25,0.026809735779584985
211,26,0.026809735779584974
211,27,0.026809735779584974
211,28,0.026809735779584974
211,29,0.026809735779584957
211,30,0.026809735779584953
211,31,0.026809735779584953
211,32,0.026809735779584946
211,33,0.02680973577958494
211,34,0.02680973577958494
211,35,0.026809735779584933
211,36,0.02680973577958493
211,37,0.02680973577958493
211,38,0.02680973577958492
211,39,0.02680973577958491
211,40,0.02680973577958491
211,41,0.02680973577958491
211,42,0.026809735779584898
211,43,0.026809735779584894
211,44,0.026809735779584894
211,45,0.02680973577958489
211,46,0.02680973577958489
211,47,0.02680973577958489
211,48,0.02680973577958489
211,49,0.026809735779584887
211,50,0.02680973577958488
211,51,0.02680973577958488
211,52,0.026809735779584877
211,53,0.026809735779584877
211,54,0.026809735779584874
211,55,0.026809735779584863
211,56,0.02680973577958486
211,57,0.026809735779584853
211,58,0.02680973577958485
211,59,0.026809735779584842
211,60,0.026809735779584842
211,61,0.02680973577958484
211,62,0.02680973577958484
211,63,0.026809735779584835
211,64,0.026809735779584835
211,65,0.026809735779584835
211,66,0.026809735779584835
211,67,0.026809735779584832
211,68,0.02680973577958483
211,69,0.02680973577958483
211,70,0.02680973577958483
211,71,0.026809735779584818
211,72,0.02680973577958481
211,73,0.02680973577958481
211,74,0.02680973577958481
211,75,0.026809735779584808
211,76,0.026809735779584808
211,77,0.026809735779584804
211,78,0.026809735779584797
211,79,0.026809735779584794
211,80,0.026809735779584794
211,81,0.02680973577958479
211,82,0.026809735779584787
211,83,0.02680973577958478
211,84,0.026809735779584776
211,85,0.026809735779584776
211,86,0.026809735779584773
211,87,0.026809735779584773
211,88,0.026809735779584773
211,89,0.02680973577958477
211,90,0.026809735779584766
211,91,0.026809735779584766
211,92,0.026809735779584766
211,93,0.026809735779584763
211,94,0.026809735779584763
211,95,0.02680973577958476
211,96,0.026809735779584756
211,97,0.026809735779584756
211,98,0.026809735779584756
211,99,0.026809735779584752
211,100,0.026809735779584735
211,101,0.026809735779584735
211,102,0.02680973577958473
211,103,0.02680973577958473
211,104,0.02680973577958473
211,105,0.026809735779584728
211,106,0.026809735779584724
211,107,0.026809735779584717
211,108,0.026809735779584714
211,109,0.026809735779584714
211,110,0.026809735779584714
211,111,0.02680973577958471
211,112,0.026809735779584707
211,113,0.026809735779584704
211,114,0.026809735779584704
211,115,0.026809735779584704
211,116,0.026809735779584704
211,117,0.026809735779584704
211,118,0.026809735779584697
211,119,0.026809735779584697
211,120,0.026809735779584697
211,121,0.026809735779584693
211,122,0.026809735779584693
211,123,0.02680973577958469
211,124,0.02680973577958469
211,125,0.026809735779584686
211,126,0.02680973577958468
211,127,0.02680973577958468
211,128,0.026809735779584676
211,129,0.026809735779584676
211,130,0.02680973577958467
211,131,0.02680973577958467
211,132,0.02680973577958467
211,133,0.026809735779584665
211,134,0.02680973577958466
211,135,0.02680973577958466
211,136,0.026809735779584655
211,137,0.026809735779584655
