q,index,sigma
101,60,8.79927218691714e-08
101,61,8.16677512537599e-08
101,62,6.387674492938735e-08
101,63,6.182823099813198e-08
101,64,0.0
101,65,0.0
101,66,0.0
101,67,0.0
101,68,0.0
101,69,0.0
101,70,0.0
101,71,0.0
101,72,0.0
101,73,0.0
101,74,0.0
101,75,0.0
101,76,0.0
101,77,0.0
101,78,0.0
101,79,0.0
101,80,0.0
101,81,0.0
101,82,0.0
101,83,0.0
101,84,0.0
101,85,0.0
101,86,0.0
101,87,0.0
101,88,0.0
101,89,0.0
101,90,0.0
101,91,0.0
101,92,0.0
101,93,0.0
101,94,0.0
101,95,0.0
101,96,0.0
101,97,0.0
101,98,0.0
101,99,0.0
101,100,0.0
151,0,27.40437921208945
151,1,27.404379212089424
151,2,27.36786436680805
151,3,27.367864366807968
151,4,27.110883423451916
151,5,27.11088342345191
151,6,26.92582403567252
151,7,26.514147167125703
151,8,26.514147167125703
151,9,25.709920264364893
151,10,25.709920264364886
151,11,24.55605831561735
151,12,24.55605831561735
151,13,22.737634001804146
151,14,22.737634001804146
151,15,20.27313493271329
151,16,20.273134932713287
151,17,17.23368793961409
151,18,17.23368793961409
151,19,13.674794331177345
151,20,13.67479433117734
151,21,9.643650760992964
151,22,9.643650760992957
151,23,5.196152422706641
151,24,5.196152422706598
151,25,1.0000000000001272
151,26,0.9999999999999877
151,27,7.571305090307671e-07
151,28,6.990313203669515e-07
151,29,6.454150612106695e-07
151,30,6.337516762611314e-07
151,31,6.139204291805074e-07
151,32,5.823915691356613e-07
151,33,5.542865804262516e-07
151,34,5.325816433245915e-07
151,35,5.121513365204405e-07
151,36,4.957307211129469e-07
151,37,4.921698114275315e-07
151,38,4.897839177808442e-07
151,39,4.5532469210689927e-07
151,40,4.4231482597451006e-07
151,41,4.3586032924374275e-07
151,42,4.291012515129726e-07
151,43,4.255584428049024e-07
151,44,4.1757100329495216e-07
151,45,4.049010683187147e-07
151,46,4.033110176522969e-07
151,47,3.90082933424271e-07
151,48,3.8558692501205165e-07
151,49,3.7439133612573615e-07
151,50,3.7276489180989285e-07
151,51,3.6779612661151324e-07
151,52,3.674586548363316e-07
151,53,3.6260276936254484e-07
151,54,3.5114804328028417e-07
151,55,3.470695499174769e-07
151,56,3.4461577403151285e-07
151,57,3.419763524283573e-07
151,58,3.4096173285693104e-07
151,59,3.26416863139757e-07
151,60,3.2015489248601133e-07
151,61,3.1088657904231843e-07
151,62,3.1060494084992447e-07
151,63,3.08955865041157e-07
151,64,2.9887636451203245e-07
151,65,2.9638204087148033e-07
151,66,2.9600483684378714e-07
151,67,2.8966362162355084e-07
151,68,2.8264551728343755e-07
151,69,2.810861216836396e-07
151,70,2.8089814484789245e-07
151,71,2.727984484446697e-07
151,72,2.703038582374654e-07
151,73,2.7007262409541945e-07
151,74,2.6545581654136127e-07
151,75,2.6531115290585884e-07
151,76,2.5625587555873624e-07
151,77,2.385818258846882e-07
151,78,2.3824657691459619e-07
151,79,2.3064552560155032e-07
151,80,2.2969342094634855e-07
151,81,2.224660646705285e-07
151,82,2.1883847089326488e-07
151,83,2.1389818291470304e-07
151,84,2.133883680735381e-07
151,85,2.087823614780268e-07
151,86,1.980111952373256e-07
151,87,1.8686515430007564e-07
151,88,1.7882567887748737e-07
151,89,1.7847355646539978e-07
151,90,1.74479983889754e-07
151,91,1.6699612651086746e-07
151,92,1.6080929301685008e-07
151,93,1.5144245784374284e-07
151,94,1.4097187774202818e-07
151,95,1.2886758901483362e-07
151,96,1.1985920905716795e-07
151,97,1.1289016145824496e-07
151,98,6.718048151614249e-08
151,99,6.394721430688232e-08
151,100,0.0
151,101,0.0
151,102,0.0
151,103,0.0
151,104,0.0
151,105,0.0
151,106,0.0
151,107,0.0
151,108,0.0
151,109,0.0
151,110,0.0
151,111,0.0
151,112,0.0
151,113,0.0
151,114,0.0
151,115,0.0
151,116,0.0
151,117,0.0
151,118,0.0
151,119,0.0
151,120,0.0
151,121,0.0
151,122,0.0
151,123,0.0
151,124,0.0
151,125,0.0
151,126,0.0
151,127,0.0
151,128,0.0
151,129,0.0
151,130,0.0
151,131,0.0
151,132,0.0
151,133,0.0
151,134,0.0
151,135,0.0
151,136,0.0
151,137,0.0
151,138,0.0
151,139,0.0
151,140,0.0
151,141,0.0
151,142,0.0
151,143,0.0
151,144,0.0
151,145,0.0
151,146,0.0
151,147,0.0
151,148,0.0
151,149,0.0
151,150,0.0
211,0,30.67572330035597
211,1,30.6757233003559
211,2,30.610455730027997
211,3,30.610455730027873
211,4,30.380915061926636
211,5,30.380915061926597
211,6,30.14962686336267
211,7,29.81610303175116
211,8,29.816103031751126
211,9,29.068883707497275
211,10,29.068883707497253
211,11,28.017851452243807
211,12,28.017851452243786
211,13,26.476404589747453
211,14,26.476404589747446
211,15,24.2693221990232
211,16,24.269322199023186
211,17,21.47091055358389
211,18,21.47091055358388
211,19,18.138357147217057
211,20,18.138357147217047
211,21,14.317821063276353
211,22,14.31782106327635
211,23,10.049875621120899
211,24,10.049875621120885
211,25,5.3851648071344975
211,26,5.385164807134485
211,27,1.0000000000000735
211,28,1.0000000000000533
211,29,8.632195436998422e-07
211,30,6.942155017940202e-07
211,31,6.776417514433838e-07
211,32,6.4528243333804e-07
211,33,6.223330503411231e-07
