q,vector,eps_c1,eps_conj_qm1,abs_diff
151,T:t2,2.4648528580870155e-15,4.0791954253842954e-13,4.054546896803425e-13
211,B:hermite0,0.019725421116718062,0.01972542111670419,1.387084891391055e-14
211,B:hermite1,0.07519570629628954,0.07519570629626143,2.8102520310824275e-14
211,B:hermite2,0.1904610517659042,0.19046105176583225,7.194245199571014e-14
211,B:hermite3,0.3665589842024566,0.3665589842023975,5.906386491005833e-14
211,B:hermite4,0.5622482258011868,0.5622482258011355,5.129230373768223e-14
211,B:hermite5,0.7036269854166395,0.7036269854166705,3.097522238704187e-14
211,B:hermite6,0.7420831520340564,0.7420831520340633,6.8833827526759706e-15
211,T:m=0,1.002336188890268e-15,1.4666506483938577e-15,4.643144595035896e-16
211,T:m=1,5.173585618238845e-15,1.7108781143544798e-12,1.705704528736241e-12
211,T:m=2,5.228266630155031e-15,1.8436898014209813e-12,1.8384615347908263e-12
211,T:m=3,5.117616131720706e-15,1.7720728607201916e-12,1.766955244588471e-12
211,T:m=4,4.906495712461872e-15,1.7972957246165541e-12,1.7923892289040923e-12
211,T:m=5,5.078307228185079e-15,1.9597872315261324e-12,1.9547089242979475e-12
211,T:m=6,5.351298257129069e-15,1.7687577740998818e-12,1.7634064758427527e-12
211,T:t1,2.167717928430306e-15,6.999809779140714e-13,6.978132599856411e-13
211,T:t2,3.219876871778765e-15,1.1669531497040048e-12,1.163733272832226e-12
